,name,lng,lat,diet,period,type,length
11402,Sauropelta,-107.902222,44.513332,herbivorous,Early Cretaceous 121-94 million years ago,armoured dinosaur,6.5
11403,Deinonychus,-107.822037,44.499119,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11405,Sauropelta,-107.822037,44.499119,herbivorous,Early Cretaceous 121-94 million years ago,armoured dinosaur,6.5
11411,Deinonychus,-108.311668,44.828888,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11412,Deinonychus,-108.805275,45.19278,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11414,Deinonychus,-108.802223,45.192501,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
11424,Triceratops,-103.50222,46.413055,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11437,Tyrannosaurus,-103.50222,46.413055,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
11439,Triceratops,-103.50222,46.413055,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11442,Tyrannosaurus,-103.50222,46.413055,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
11451,Psittacosaurus,108.446671,45.830276,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
11494,Allosaurus,-9.334167,39.283611,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
11539,Camarasaurus,-110.813889,38.25222,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
11540,Stegosaurus,-110.813889,38.25222,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
11541,Allosaurus,-110.813889,38.25222,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
11542,Brachiosaurus,-110.813889,38.25222,herbivorous,Late Jurassic 155-140 million years ago,sauropod,30.0
11544,Diplodocus,-110.813889,38.25222,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
11545,Ampelosaurus,-2.021356,39.950359,herbivorous,Late Cretaceous 71-65 million years ago,sauropod,15.0
11576,Parasaurolophus,-108.209099,36.343899,herbivorous,Late Cretaceous 76-74 million years ago,euornithopod,11.0
11594,Megalosaurus,4.833333,48.766666,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11598,Megalosaurus,0.340375,46.580223,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11599,Megalosaurus,5.002956,49.109325,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11600,Megalosaurus,5.024955,49.221294,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11629,Megalosaurus,0.0,49.316669,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11630,Megalosaurus,0.0,49.316669,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11660,Megalosaurus,5.662474,47.64642,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
11663,Tyrannosaurus,-104.494812,43.422287,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
11668,Diplodocus,-106.421387,44.037498,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
11669,Diplodocus,-106.048615,42.017776,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
11670,Apatosaurus,-106.048615,42.017776,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
11679,Stegosaurus,-109.300552,40.441387,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
11703,Triceratops,-104.192398,45.482071,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11704,Triceratops,-104.494812,43.422287,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11706,Triceratops,-107.115555,47.546665,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11715,Tyrannosaurus,-105.240425,45.349419,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
11724,Styracosaurus,-111.548187,50.710037,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
11818,Iguanodon,-1.967718,50.603161,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
11836,Yangchuanosaurus,105.300003,30.15,carnivorous,Late Jurassic 160-144 million years ago,large theropod,10.0
11850,Iguanodon,-0.570278,51.236111,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
11851,Iguanodon,0.254722,52.308056,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
11934,Triceratops,-103.6996,45.393398,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11935,Triceratops,-103.7201,45.407902,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11936,Triceratops,-103.504295,45.516338,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11943,Triceratops,-104.553055,43.15778,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11946,Triceratops,-104.5,43.0,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
11974,Tyrannosaurus,-108.853798,44.935799,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
12010,Troodon,-111.300003,50.733334,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12011,Troodon,-112.199997,49.283054,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12012,Troodon,-112.901711,51.652496,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12013,Troodon,-112.629997,51.41,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12014,Troodon,-117.415398,55.463501,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12015,Troodon,-113.806396,53.2635,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12016,Troodon,-113.151299,51.485699,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12017,Troodon,-112.865601,51.549999,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
12039,Triceratops,-106.577286,49.052479,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
12040,Triceratops,-108.766602,49.505001,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
12041,Triceratops,-108.3321,49.3414,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
12042,Triceratops,-108.3321,49.3414,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
12043,Torosaurus,-108.3321,49.3414,herbivorous,Late Cretaceous 70-65 million years ago,ceratopsian,7.5
12068,Iguanodon,0.424167,40.493332,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
12073,Tyrannosaurus,-110.602501,46.885277,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
12167,Ampelosaurus,5.733333,43.5,herbivorous,Late Cretaceous 71-65 million years ago,sauropod,15.0
12169,Camarasaurus,-106.390556,42.035831,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
12170,Stegosaurus,-106.390556,42.035831,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
12171,Apatosaurus,-107.458336,44.051388,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
12173,Diplodocus,-107.458336,44.051388,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
12217,Deinonychus,-109.273613,38.831944,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
12218,Camarasaurus,-108.120003,43.380001,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
12953,Stegosaurus,-107.400002,38.450001,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
12954,Camarasaurus,-107.400002,38.450001,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
12955,Allosaurus,-107.400002,38.450001,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
12956,Apatosaurus,-107.400002,38.450001,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
12957,Allosaurus,-107.400002,38.450001,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
12958,Camarasaurus,-107.400002,38.450001,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
12959,Ceratosaurus,-107.400002,38.450001,carnivorous,Late Jurassic 153-148 million years ago,large theropod,6.0
12960,Stegosaurus,-107.400002,38.450001,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
13080,Tyrannosaurus,-109.0,31.0,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13247,Ceratosaurus,-9.341944,39.201668,carnivorous,Late Jurassic 153-148 million years ago,large theropod,6.0
13266,Microraptor,120.225601,41.494999,carnivorous,Early Cretaceous 125-122 million years ago,small theropod,0.8
13290,Tyrannosaurus,-106.255913,47.732971,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13291,Tyrannosaurus,-114.106903,49.607498,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13293,Tyrannosaurus,-101.96788,45.053665,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13307,Iguanodon,-1.376389,50.625,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13309,Iguanodon,-1.406757,50.633778,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13324,Iguanodon,0.514942,50.846462,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13326,Camarasaurus,-110.687622,39.32399,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
